20201020000001,0.0.0.1/30,-
20201020000002,0.0.0.2/30,-
20201020000005,0.0.0.1/30,5
20201020000010,0.0.0.1/30,-
20201020000012,0.0.0.2/30,-
20201020000015,0.0.0.1/30,5
20201025000000,0.0.0.249/29,-
20201025000001,0.0.0.250/29,-
20201025000002,0.0.0.251/29,-
20201025000003,0.0.0.252/29,-
20201025000004,0.0.0.253/29,6
20201025000005,0.0.0.254/29,-
20201100000000,0.0.0.241/28,-
20201100000001,0.0.0.242/28,-
20201100000002,0.0.0.243/28,-
20201100000003,0.0.0.244/28,-
20201100000004,0.0.0.245/28,-
20201100000005,0.0.0.246/28,-
20201100000006,0.0.0.247/28,-
20201100000007,0.0.0.248/28,-
20201100000008,0.0.0.249/28,-
20201100000009,0.0.0.250/28,-
20201100000010,0.0.0.251/28,-
20201100000011,0.0.0.252/28,-
20201100000012,0.0.0.253/28,-
20201100000013,0.0.0.254/28,-
